"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24696","User Creates the valid login user","","2026-08-02","failed","2026-08-02","Create new user with valid credentials","tests\features\signup.feature.spec.js","",""
"","37917","Example #1","","2026-08-06","passed","2026-08-06","Create new user with valid credentials > User Creates the valid login user","tests\features\signup.feature.spec.js","",""
"","43384","Example #3","","2026-08-06","broken","2026-08-06","Create new user with valid credentials > User Creates the valid login user","tests\features\signup.feature.spec.js","",""
"","557","Example #4","","2026-08-06","failed","2026-08-06","Login with valid credentials > User tries to login with valid credentials","tests\features\loginwithvalidcreds.feature.spec.js","",""
"","15644","Example #2","","2026-08-06","passed","2026-08-06","Login with valid credentials > User tries to login with valid credentials","tests\features\loginwithvalidcreds.feature.spec.js","",""
"","6198","User tries to login with valid credentials","","2026-08-02","passed","2026-08-02","Login with valid credentials","tests\features\loginwithvalidcreds.feature.spec.js","",""
"","44724","Example #2","","2026-08-06","broken","2026-08-06","Create new user with valid credentials > User Creates the valid login user","tests\features\signup.feature.spec.js","",""
"","45749","Example #4","","2026-08-06","broken","2026-08-06","Create new user with valid credentials > User Creates the valid login user","tests\features\signup.feature.spec.js","",""
"","17050","Example #3","","2026-08-06","passed","2026-08-06","Login with valid credentials > User tries to login with valid credentials","tests\features\loginwithvalidcreds.feature.spec.js","",""
"","4817","User tries to login with wrong credentials","","2026-08-06","passed","2026-08-06","Login with invalid credentials","tests\features\login.feature.spec.js","",""
"","16342","Example #1","","2026-08-06","passed","2026-08-06","Login with valid credentials > User tries to login with valid credentials","tests\features\loginwithvalidcreds.feature.spec.js","",""
